date,complaints
2019-01-01,482
2019-02-01,511
2019-03-01,677
2019-04-01,515
2019-05-01,627
2019-06-01,599
2019-07-01,681
2019-08-01,740
2019-09-01,623
2019-10-01,795
2019-11-01,672
2019-12-01,461
2020-01-01,483
2020-02-01,521
2020-03-01,386
2020-04-01,247
2020-05-01,298
2020-06-01,271
2020-07-01,230
2020-08-01,322
2020-09-01,329
2020-10-01,362
2020-11-01,297
2020-12-01,746
2021-01-01,256
2021-02-01,227
2021-03-01,223
2021-04-01,192
2021-05-01,161
2021-06-01,197
2021-07-01,239
2021-08-01,199
2021-09-01,245
2021-10-01,262
2021-11-01,282
2021-12-01,162
2022-01-01,142
2022-02-01,168
2022-03-01,239
2022-04-01,169
2022-05-01,192
2022-06-01,227
2022-07-01,182
2022-08-01,70
2022-09-01,55
2022-10-01,37
2022-11-01,37
2022-12-01,33
